132;132;06/01/2021;01010904102640; ;;Roya;01010904.02666;;;131/2021;Berkas No.277/2021 Selesai Diserahkan
133;133;06/01/2021;01010801110612; ;;Peralihan Hak - Jual Beli;01010801.02575;;;128/2021;Berkas No.305/2021 Selesai Diserahkan
134;134;06/01/2021;01010703100075; ;;Peralihan Hak - Hibah;01010703.02695;;;127/2021;Berkas No.315/2021 Selesai Diserahkan
135;135;07/01/2021;01010305110372; ;;Roya;01010305.00539;;;193/2021;Berkas No.369/2021 Selesai Diserahkan
136;136;07/01/2021;01010208102471; ;;Peralihan Hak - Jual Beli;01010208.02582;;;194/2021;Berkas No.409/2021 Selesai Diserahkan
137;137;07/01/2021;01010403110218; ;;Peralihan Hak - Jual Beli;01010403.01622;;;191/2021;Berkas No.216/2021 Selesai Diserahkan
138;138;07/01/2021;01010905102202; ;;Roya;01010905.02186;;;190/2021;Berkas No.220/2021 Selesai Diserahkan
139;139;07/01/2021;01010401110418; ;;Roya;01010401.01182;;;188/2021;Berkas No.360/2021 Selesai Diserahkan
140;140;07/01/2021;01010201100310; ;;Roya;01010201.02606;;;187/2021;Berkas No.16/2021 Selesai Diserahkan
141;141;07/01/2021;01010704102205; ;;Roya;01010704.02207;;;186/2021;Berkas No.391/2021 Selesai Diserahkan
142;142;07/01/2021;01010401110248; ;;Roya;01010401.00584;;;185/2021;Berkas No.389/2021 Selesai Diserahkan
143;143;07/01/2021;01010404110377;DEAH RAYA;Syiah Kuala;Pendaftaran Tanah Pertama Kali Pengakuan/Penegasan Hak;01010404.00832;;;6073/2020;Berkas No.12350/2020 Selesai Diserahkan
144;144;07/01/2021;01010401100912; ;;Hapusnya Hak;01010401.12739;;;200/2021;Berkas No.333/2021 Selesai Diserahkan
145;145;07/01/2021;01010603102722; ;;Perubahan Hak Atas Tanah;01010603.02662;;;184/2021;Berkas No.383/2021 Selesai Diserahkan
146;145;07/01/2021;01010603302493; ;;Perubahan Hak Atas Tanah;01010603.02662;;;184/2021;Berkas No.383/2021 Selesai Diserahkan
147;146;07/01/2021;01010908100158; ;;Peralihan Hak - Pewarisan;01010908.02733;;;199/2021;Berkas No.424/2021 Selesai Diserahkan
